epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_precision,val_recall,val_f1_score
1,0.31762009264866997,0.8564033742331288,1.749758243560791,0.5625,0.5333333333333333,1.0,0.6956521739130435
2,0.24219582572670803,0.8935966257668712,0.6036124229431152,0.75,0.6666666666666666,1.0,0.8
3,0.19408399387736994,0.9175613496932515,0.3628777265548706,0.8125,0.7777777777777778,0.875,0.8235294117647058
4,0.1727059353028704,0.9279141104294478,1.285597324371338,0.5625,0.5333333333333333,1.0,0.6956521739130435
5,0.15373686504510284,0.937308282208589,2.034977674484253,0.5,0.5,1.0,0.6666666666666666
6,0.13780394780443855,0.9472776073619632,1.3075300455093384,0.5,0.5,1.0,0.6666666666666666
7,0.14740408263369206,0.9411426380368099,0.28450191020965576,0.875,0.875,0.875,0.875
8,0.1440192365367537,0.9428680981595092,0.8829715251922607,0.6875,0.6153846153846154,1.0,0.7619047619047619
9,0.126434209053776,0.9524539877300614,0.8153623938560486,0.625,0.5714285714285714,1.0,0.7272727272727273
10,0.11461058831516585,0.9564800613496932,0.6086539030075073,0.6875,0.6153846153846154,1.0,0.7619047619047619
11,0.12120607202198425,0.9528374233128835,0.3768000900745392,0.75,0.7,0.875,0.7777777777777778
12,0.1198202262581126,0.955329754601227,1.2081841230392456,0.5625,0.5333333333333333,1.0,0.6956521739130435
13,0.11893321640583818,0.9545628834355828,1.2897841930389404,0.5625,0.5333333333333333,1.0,0.6956521739130435
14,0.11257411625259127,0.9559049079754601,0.784388542175293,0.6875,0.6153846153846154,1.0,0.7619047619047619
15,0.12818176063360429,0.9516871165644172,1.7562181949615479,0.5625,0.5333333333333333,1.0,0.6956521739130435
